sample_id	accession_pat	accession_mat	sex
HG00408	HG00408_pat_hprc_r2_v1.0.1	HG00408_mat_hprc_r2_v1.0.1	female
HG00423	HG00423_pat_hprc_r2_v1.0.1	HG00423_mat_hprc_r2_v1.0.1	female
HG00438	HG00438_pat_hprc_r2_v1.0.1	HG00438_mat_hprc_r2_v1.0.1	female
HG005	HG005_pat_hprc_r2_v1.0.1	HG005_mat_hprc_r2_v1.0.1	male
HG00544	HG00544_pat_hprc_r2_v1.0.1	HG00544_mat_hprc_r2_v1.0.1	female
HG00558	HG00558_pat_hprc_r2_v1.0.1	HG00558_mat_hprc_r2_v1.0.1	female
HG00597	HG00597_pat_hprc_r2_v1.0.1	HG00597_mat_hprc_r2_v1.0.1	female
HG00609	HG00609_pat_hprc_r2_v1.0.1	HG00609_mat_hprc_r2_v1.0.1	male
HG00621	HG00621_pat_hprc_r2_v1.0.1	HG00621_mat_hprc_r2_v1.0.1	male
HG00639	HG00639_pat_hprc_r2_v1.0.1	HG00639_mat_hprc_r2_v1.0.1	female
HG00642	HG00642_pat_hprc_r2_v1.0.1	HG00642_mat_hprc_r2_v1.0.1	male
HG00658	HG00658_pat_hprc_r2_v1.0.1	HG00658_mat_hprc_r2_v1.0.1	male
HG00673	HG00673_pat_hprc_r2_v1.0.1	HG00673_mat_hprc_r2_v1.0.1	male
HG00706	HG00706_pat_hprc_r2_v1.0.1	HG00706_mat_hprc_r2_v1.0.1	male
HG00733	HG00733_pat_hprc_r2_v1.0.1	HG00733_mat_hprc_r2_v1.0.1	female
HG00735	HG00735_pat_hprc_r2_v1.0.1	HG00735_mat_hprc_r2_v1.0.1	female
HG00738	HG00738_pat_hprc_r2_v1.0.1	HG00738_mat_hprc_r2_v1.0.1	male
HG00741	HG00741_pat_hprc_r2_v1.0.1	HG00741_mat_hprc_r2_v1.0.1	female
HG01071	HG01071_pat_hprc_r2_v1.0.1	HG01071_mat_hprc_r2_v1.0.1	female
HG01074	HG01074_pat_hprc_r2_v1.0.1	HG01074_mat_hprc_r2_v1.0.1	male
HG01081	HG01081_pat_hprc_r2_v1.0.1	HG01081_mat_hprc_r2_v1.0.1	female
HG01099	HG01099_pat_hprc_r2_v1.0.1	HG01099_mat_hprc_r2_v1.0.1	male
HG01106	HG01106_pat_hprc_r2_v1.0.1	HG01106_mat_hprc_r2_v1.0.1	male
HG01109	HG01109_pat_hprc_r2_v1.0.1	HG01109_mat_hprc_r2_v1.0.1	male
HG01123	HG01123_pat_hprc_r2_v1.0.1	HG01123_mat_hprc_r2_v1.0.1	female
HG01150	HG01150_pat_hprc_r2_v1.0.1	HG01150_mat_hprc_r2_v1.0.1	female
HG01167	HG01167_hap1_hprc_r2_v1.0.1	HG01167_hap2_hprc_r2_v1.0.1	male
HG01175	HG01175_pat_hprc_r2_v1.0.1	HG01175_mat_hprc_r2_v1.0.1	female
HG01192	HG01192_pat_hprc_r2_v1.0.1	HG01192_mat_hprc_r2_v1.0.1	male
HG01243	HG01243_pat_hprc_r2_v1.0.1	HG01243_mat_hprc_r2_v1.0.1	male
HG01252	HG01252_pat_hprc_r2_v1.0.1	HG01252_mat_hprc_r2_v1.0.1	male
HG01255	HG01255_pat_hprc_r2_v1.0.1	HG01255_mat_hprc_r2_v1.0.1	male
HG01258	HG01258_pat_hprc_r2_v1.0.1	HG01258_mat_hprc_r2_v1.0.1	male
HG01261	HG01261_pat_hprc_r2_v1.0.1	HG01261_mat_hprc_r2_v1.0.1	male
HG01346	HG01346_pat_hprc_r2_v1.0.1	HG01346_mat_hprc_r2_v1.0.1	female
HG01358	HG01358_pat_hprc_r2_v1.0.1	HG01358_mat_hprc_r2_v1.0.1	male
HG01361	HG01361_pat_hprc_r2_v1.0.1	HG01361_mat_hprc_r2_v1.0.1	female
HG01433	HG01433_pat_hprc_r2_v1.0.1	HG01433_mat_hprc_r2_v1.0.1	male
HG01496	HG01496_pat_hprc_r2_v1.0.1	HG01496_mat_hprc_r2_v1.0.1	female
HG01530	HG01530_hap1_hprc_r2_v1.0.1	HG01530_hap2_hprc_r2_v1.0.1	male
HG01784	HG01784_hap1_hprc_r2_v1.0.1	HG01784_hap2_hprc_r2_v1.0.1	female
HG01786	HG01786_hap1_hprc_r2_v1.0.1	HG01786_hap2_hprc_r2_v1.0.1	female
HG01884	HG01884_pat_hprc_r2_v1.0.1	HG01884_mat_hprc_r2_v1.0.1	female
HG01891	HG01891_pat_hprc_r2_v1.0.1	HG01891_mat_hprc_r2_v1.0.1	female
HG01928	HG01928_pat_hprc_r2_v1.0.1	HG01928_mat_hprc_r2_v1.0.1	male
HG01934	HG01934_pat_hprc_r2_v1.0.1	HG01934_mat_hprc_r2_v1.0.1	male
HG01940	HG01940_pat_hprc_r2_v1.0.1	HG01940_mat_hprc_r2_v1.0.1	female
HG01943	HG01943_pat_hprc_r2_v1.0.1	HG01943_mat_hprc_r2_v1.0.1	male
HG01952	HG01952_pat_hprc_r2_v1.0.1	HG01952_mat_hprc_r2_v1.0.1	male
HG01960	HG01960_pat_hprc_r2_v1.0.1	HG01960_mat_hprc_r2_v1.0.1	female
HG01969	HG01969_pat_hprc_r2_v1.0.1	HG01969_mat_hprc_r2_v1.0.1	female
HG01975	HG01975_pat_hprc_r2_v1.0.1	HG01975_mat_hprc_r2_v1.0.1	female
HG01978	HG01978_pat_hprc_r2_v1.1.0	HG01978_mat_hprc_r2_v1.1.0	female
HG01981	HG01981_pat_hprc_r2_v1.0.1	HG01981_mat_hprc_r2_v1.0.1	female
HG01993	HG01993_pat_hprc_r2_v1.0.1	HG01993_mat_hprc_r2_v1.0.1	female
HG02004	HG02004_pat_hprc_r2_v1.0.1	HG02004_mat_hprc_r2_v1.0.1	female
HG02015	HG02015_pat_hprc_r2_v1.0.1	HG02015_mat_hprc_r2_v1.0.1	male
HG02027	HG02027_pat_hprc_r2_v1.0.1	HG02027_mat_hprc_r2_v1.0.1	male
HG02040	HG02040_hap1_hprc_r2_v1.0.1	HG02040_hap2_hprc_r2_v1.0.1	male
HG02055	HG02055_pat_hprc_r2_v1.0.1	HG02055_mat_hprc_r2_v1.0.1	male
HG02056	HG02056_pat_hprc_r2_v1.0.1	HG02056_mat_hprc_r2_v1.0.1	male
HG02071	HG02071_pat_hprc_r2_v1.0.1	HG02071_mat_hprc_r2_v1.0.1	male
HG02074	HG02074_pat_hprc_r2_v1.0.1	HG02074_mat_hprc_r2_v1.0.1	male
HG02080	HG02080_pat_hprc_r2_v1.0.1	HG02080_mat_hprc_r2_v1.0.1	female
HG02083	HG02083_pat_hprc_r2_v1.0.1	HG02083_mat_hprc_r2_v1.0.1	male
HG02109	HG02109_pat_hprc_r2_v1.0.1	HG02109_mat_hprc_r2_v1.0.1	female
HG02129	HG02129_pat_hprc_r2_v1.0.1	HG02129_mat_hprc_r2_v1.0.1	male
HG02132	HG02132_pat_hprc_r2_v1.0.1	HG02132_mat_hprc_r2_v1.0.1	male
HG02135	HG02135_pat_hprc_r2_v1.0.1	HG02135_mat_hprc_r2_v1.0.1	male
HG02145	HG02145_pat_hprc_r2_v1.0.1	HG02145_mat_hprc_r2_v1.0.1	male
HG02148	HG02148_pat_hprc_r2_v1.0.1	HG02148_mat_hprc_r2_v1.0.1	female
HG02155	HG02155_hap1_hprc_r2_v1.0.1	HG02155_hap2_hprc_r2_v1.0.1	female
HG02165	HG02165_hap1_hprc_r2_v1.0.1	HG02165_hap2_hprc_r2_v1.0.1	female
HG02178	HG02178_hap1_hprc_r2_v1.0.1	HG02178_hap2_hprc_r2_v1.0.1	female
HG02257	HG02257_pat_hprc_r2_v1.1.0	HG02257_mat_hprc_r2_v1.1.0	female
HG02258	HG02258_pat_hprc_r2_v1.0.1	HG02258_mat_hprc_r2_v1.0.1	male
HG02273	HG02273_hap1_hprc_r2_v1.0.1	HG02273_hap2_hprc_r2_v1.0.1	female
HG02280	HG02280_pat_hprc_r2_v1.0.1	HG02280_mat_hprc_r2_v1.0.1	female
HG02293	HG02293_pat_hprc_r2_v1.0.1	HG02293_mat_hprc_r2_v1.0.1	female
HG02300	HG02300_pat_hprc_r2_v1.0.1	HG02300_mat_hprc_r2_v1.0.1	female
HG02391	HG02391_hap1_hprc_r2_v1.0.1	HG02391_hap2_hprc_r2_v1.0.1	male
HG02392	HG02392_hap1_hprc_r2_v1.0.1	HG02392_hap2_hprc_r2_v1.0.1	male
HG02451	HG02451_pat_hprc_r2_v1.0.1	HG02451_mat_hprc_r2_v1.0.1	female
HG02486	HG02486_pat_hprc_r2_v1.0.1	HG02486_mat_hprc_r2_v1.0.1	male
HG02514	HG02514_pat_hprc_r2_v1.0.1	HG02514_mat_hprc_r2_v1.0.1	male
HG02523	HG02523_pat_hprc_r2_v1.0.1	HG02523_mat_hprc_r2_v1.0.1	female
HG02559	HG02559_pat_hprc_r2_v1.0.1	HG02559_mat_hprc_r2_v1.0.1	female
HG02572	HG02572_pat_hprc_r2_v1.0.1	HG02572_mat_hprc_r2_v1.0.1	male
HG02583	HG02583_hap1_hprc_r2_v1.0.1	HG02583_hap2_hprc_r2_v1.0.1	female
HG02602	HG02602_pat_hprc_r2_v1.0.1	HG02602_mat_hprc_r2_v1.0.1	male
HG02615	HG02615_pat_hprc_r2_v1.0.1	HG02615_mat_hprc_r2_v1.0.1	female
HG02622	HG02622_pat_hprc_r2_v1.0.1	HG02622_mat_hprc_r2_v1.0.1	female
HG02630	HG02630_pat_hprc_r2_v1.0.1	HG02630_mat_hprc_r2_v1.0.1	female
HG02647	HG02647_pat_hprc_r2_v1.0.1	HG02647_mat_hprc_r2_v1.0.1	male
HG02668	HG02668_pat_hprc_r2_v1.0.1	HG02668_mat_hprc_r2_v1.0.1	male
HG02698	HG02698_pat_hprc_r2_v1.0.1	HG02698_mat_hprc_r2_v1.0.1	male
HG02717	HG02717_pat_hprc_r2_v1.0.1	HG02717_mat_hprc_r2_v1.0.1	male
HG02723	HG02723_pat_hprc_r2_v1.0.1	HG02723_mat_hprc_r2_v1.0.1	female
HG02735	HG02735_pat_hprc_r2_v1.0.1	HG02735_mat_hprc_r2_v1.0.1	male
HG02738	HG02738_pat_hprc_r2_v1.0.1	HG02738_mat_hprc_r2_v1.0.1	male
HG02809	HG02809_pat_hprc_r2_v1.0.1	HG02809_mat_hprc_r2_v1.0.1	female
HG02818	HG02818_pat_hprc_r2_v1.0.1	HG02818_mat_hprc_r2_v1.0.1	female
HG02841	HG02841_pat_hprc_r2_v1.0.1	HG02841_mat_hprc_r2_v1.0.1	female
HG02886	HG02886_pat_hprc_r2_v1.0.1	HG02886_mat_hprc_r2_v1.0.1	female
HG02922	HG02922_hap1_hprc_r2_v1.0.1	HG02922_hap2_hprc_r2_v1.0.1	female
HG02965	HG02965_hap1_hprc_r2_v1.0.1	HG02965_hap2_hprc_r2_v1.0.1	male
HG02976	HG02976_hap1_hprc_r2_v1.0.1	HG02976_hap2_hprc_r2_v1.0.1	female
HG02984	HG02984_pat_hprc_r2_v1.0.1	HG02984_mat_hprc_r2_v1.0.1	male
HG03017	HG03017_pat_hprc_r2_v1.0.1	HG03017_mat_hprc_r2_v1.0.1	male
