accession	url
GCA_018471515.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/515/GCA_018471515.1/GCA_018471515.1.fa.gz
GCA_018472595.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/595/GCA_018472595.1/GCA_018472595.1.fa.gz
GCA_018472605.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/605/GCA_018472605.1/GCA_018472605.1.fa.gz
GCA_018472575.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/575/GCA_018472575.1/GCA_018472575.1.fa.gz
GCA_018472565.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/565/GCA_018472565.1/GCA_018472565.1.fa.gz
GCA_018472585.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/585/GCA_018472585.1/GCA_018472585.1.fa.gz
GCA_018506975.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/506/975/GCA_018506975.1/GCA_018506975.1.fa.gz
GCA_018506955.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/506/955/GCA_018506955.1/GCA_018506955.1.fa.gz
GCA_018472765.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/765/GCA_018472765.1/GCA_018472765.1.fa.gz
GCA_018472715.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/715/GCA_018472715.1/GCA_018472715.1.fa.gz
GCA_018471095.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/095/GCA_018471095.1/GCA_018471095.1.fa.gz
GCA_018471105.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/105/GCA_018471105.1/GCA_018471105.1.fa.gz
GCA_018472685.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/685/GCA_018472685.1/GCA_018472685.1.fa.gz
GCA_018472725.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/725/GCA_018472725.1/GCA_018472725.1.fa.gz
GCA_018471345.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/345/GCA_018471345.1/GCA_018471345.1.fa.gz
GCA_018471075.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/075/GCA_018471075.1/GCA_018471075.1.fa.gz
GCA_018504365.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/504/365/GCA_018504365.1/GCA_018504365.1.fa.gz
GCA_018504645.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/504/645/GCA_018504645.1/GCA_018504645.1.fa.gz
GCA_018469665.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/469/665/GCA_018469665.1/GCA_018469665.1.fa.gz
GCA_018469695.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/469/695/GCA_018469695.1/GCA_018469695.1.fa.gz
GCA_018471085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/085/GCA_018471085.1/GCA_018471085.1.fa.gz
GCA_018471065.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/065/GCA_018471065.1/GCA_018471065.1.fa.gz
GCA_018504375.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/504/375/GCA_018504375.1/GCA_018504375.1.fa.gz
GCA_018504045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/504/045/GCA_018504045.1/GCA_018504045.1.fa.gz
GCA_018469405.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/469/405/GCA_018469405.1/GCA_018469405.1.fa.gz
GCA_018469675.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/469/675/GCA_018469675.1/GCA_018469675.1.fa.gz
GCA_018469865.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/469/865/GCA_018469865.1/GCA_018469865.1.fa.gz
GCA_018469965.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/469/965/GCA_018469965.1/GCA_018469965.1.fa.gz
GCA_018469685.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/469/685/GCA_018469685.1/GCA_018469685.1.fa.gz
GCA_018469705.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/469/705/GCA_018469705.1/GCA_018469705.1.fa.gz
GCA_018467155.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/467/155/GCA_018467155.1/GCA_018467155.1.fa.gz
GCA_018467165.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/467/165/GCA_018467165.1/GCA_018467165.1.fa.gz
GCA_018472695.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/695/GCA_018472695.1/GCA_018472695.1.fa.gz
GCA_018472705.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/705/GCA_018472705.1/GCA_018472705.1.fa.gz
GCA_018471545.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/545/GCA_018471545.1/GCA_018471545.1.fa.gz
GCA_018471555.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/471/555/GCA_018471555.1/GCA_018471555.1.fa.gz
GCA_018472865.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/865/GCA_018472865.1/GCA_018472865.1.fa.gz
GCA_018472845.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/472/845/GCA_018472845.1/GCA_018472845.1.fa.gz
GCA_018506125.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/506/125/GCA_018506125.1/GCA_018506125.1.fa.gz
GCA_018505855.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/505/855/GCA_018505855.1/GCA_018505855.1.fa.gz
GCA_018504085.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/504/085/GCA_018504085.1/GCA_018504085.1.fa.gz
GCA_018504055.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/504/055/GCA_018504055.1/GCA_018504055.1.fa.gz
GCA_018505825.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/505/825/GCA_018505825.1/GCA_018505825.1.fa.gz
