sample_id	assembly_mat	assembly_pat	population	accession_mat	accession_pat
HG01243	HG01243.pri.mat.f1_v2	HG01243.alt.pat.f1_v2	Puerto Rican In Puerto Rico	GCA_018504375.1	GCA_018504045.1
HG01258	HG01258.pri.mat.f1_v2	HG01258.alt.pat.f1_v2	Colombian In Medellin, Colombia	GCA_018469405.1	GCA_018469675.1
HG01358	HG01358.pri.mat.f1_v2.1	HG01358.alt.pat.f1_v2.1	Colombian In Medellin, Colombia	GCA_018469865.1	GCA_018469965.1
HG01361	HG01361.pri.mat.f1_v2	HG01361.alt.pat.f1_v2	Colombian In Medellin, Colombia	GCA_018469685.1	GCA_018469705.1
HG01891	HG01891.pri.mat.f1_v2	HG01891.alt.pat.f1_v2	African Caribbean In Barbados	GCA_018467155.1	GCA_018467165.1
HG01928	HG01928.pri.mat.f1_v2	HG01928.alt.pat.f1_v2	Peruvian In Lima, Peru	GCA_018472695.1	GCA_018472705.1
HG01952	HG01952.pri.mat.f1_v2	HG01952.alt.pat.f1_v2	Peruvian In Lima, Peru	GCA_018471545.1	GCA_018471555.1
HG01978	HG01978.pri.mat.f1_v2	HG01978.alt.pat.f1_v2	Peruvian In Lima, Peru	GCA_018472865.1	GCA_018472845.1
HG02055	HG02055.pri.mat.f1_v2	HG02055.alt.pat.f1_v2	Barbados	GCA_018506125.1	GCA_018505855.1
HG02080	HG02080.pri.mat.f1_v2	HG02080.alt.pat.f1_v2	Vietnamese Kinh In Ho Chi Minh City, Vietnam	GCA_018504085.1	GCA_018504055.1
HG02109	HG02109.pri.mat.f1_v2	HG02109.alt.pat.f1_v2	African Ancestry From Barbados In The Caribbean	GCA_018505825.1	GCA_018505865.1
HG02145	HG02145.pri.mat.f1_v2	HG02145.alt.pat.f1_v2	African Ancestry From Barbados In The Caribbean	GCA_018852585.1	GCA_018852595.1
HG02148	HG02148.pri.mat.f1_v2	HG02148.alt.pat.f1_v2	Peruvian In Lima, Peru	GCA_018471535.1	GCA_018471525.1
HG02257	HG02257.pri.mat.f1_v2	HG02257.alt.pat.f1_v2	African Caribbean In Barbados	GCA_018466845.1	GCA_018466835.1
HG02486	HG02486.pri.mat.f1_v2	HG02486.alt.pat.f1_v2	African Caribbean In Barbados	GCA_018467015.1	GCA_018467005.1
HG02559	HG02559.pri.mat.f1_v2	HG02559.alt.pat.f1_v2	African Caribbean In Barbados	GCA_018466985.1	GCA_018466855.1
HG02572	HG02572.pri.mat.f1_v2	HG02572.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018470445.1	GCA_018470435.1
HG02622	HG02622.pri.mat.f1_v2	HG02622.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018469875.1	GCA_018469925.1
HG02630	HG02630.pri.mat.f1_v2	HG02630.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018469955.1	GCA_018469945.1
HG02717	HG02717.pri.mat.f1_v2	HG02717.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018469935.1	GCA_018470425.1
HG02723	HG02723.pri.mat.f1_v2	HG02723.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018504065.1	GCA_018504075.1
HG02818	HG02818.pri.mat.f1_v2	HG02818.alt.pat.f1_v2	Gambian In Western Division Of Gambia	GCA_018503585.1	GCA_018503575.1
HG02886	HG02886.pri.mat.f1_v2	HG02886.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018470455.1	GCA_018470465.1
HG03098	HG03098.pri.mat.f1_v2	HG03098.alt.pat.f1_v2	Mende In Sierra Leone	GCA_018506165.1	GCA_018506155.1
HG03453	HG03453.pri.mat.f1_v2	HG03453.alt.pat.f1_v2	Mende In Sierra Leone	GCA_018472855.1	GCA_018473305.1
HG03486	HG03486.pri.mat.f1_v2	HG03486.alt.pat.f1_v2	Mende Of Sierra Leone	GCA_018503525.1	GCA_018503245.1
HG03492	HG03492.pri.mat.f1_v2	HG03492.alt.pat.f1_v2	Punjabi In Lahore, Pakistan	GCA_018505845.1	GCA_018505835.1
HG03516	HG03516.pri.mat.f1_v2	HG03516.alt.pat.f1_v2	Esan In Nigeria	GCA_018469425.1	GCA_018469415.1
HG03540	HG03540.pri.mat.f1_v2	HG03540.alt.pat.f1_v2	Gambian In Western Division, The Gambia	GCA_018473295.1	GCA_018473315.1
HG03579	HG03579.pri.mat.f1_v2	HG03579.alt.pat.f1_v2	Mende In Sierra Leone	GCA_018472825.1	GCA_018472835.1
NA18906	NA18906.pri.mat.f1_v2	NA18906.alt.pat.f1_v2	Yoruban In Ibadan, Nigeria	GCA_018503255.1	GCA_018503285.1
NA19240	NA19240.pri.mat.f1_v2	NA19240.alt.pat.f1_v2	Yoruban	GCA_018503275.1	GCA_018503265.1
NA20129	NA20129.pri.mat.f1_v2	NA20129.alt.pat.f1_v2	Southwest USA	GCA_018504635.1	GCA_018504625.1
NA21309	NA21309.pri.mat.f1_v2	NA21309.alt.pat.f1_v2	Kinyawa, Kenya	GCA_018504655.1	GCA_018504665.1
