sample_id	read_data_path	read_data_index_path	sequencing_data_type	depth_stats_path	depth_of_coverage	male_or_female
HG03125	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03125/analysis/HG03125.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03125/analysis/HG03125.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG03125/illumina/HG03125.total_depth.txt	32.99	female
HG03098	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03098/analysis/HG03098.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03098/analysis/HG03098.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG03098/illumina/HG03098.total_depth.txt	32.2	male
HG02886	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02886/analysis/HG02886.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02886/analysis/HG02886.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02886/illumina/HG02886.total_depth.txt	35.75	female
HG02818	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02818/analysis/HG02818.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02818/analysis/HG02818.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02818/illumina/HG02818.total_depth.txt	33.69	female
HG02723	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02723/analysis/HG02723.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02723/analysis/HG02723.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02723/illumina/HG02723.total_depth.txt	34.54	female
HG02717	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02717/analysis/HG02717.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02717/analysis/HG02717.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02717/illumina/HG02717.total_depth.txt	34.3	male
HG02630	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02630/analysis/HG02630.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02630/analysis/HG02630.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02630/illumina/HG02630.total_depth.txt	34.81	female
HG02622	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02622/analysis/HG02622.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02622/analysis/HG02622.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02622/illumina/HG02622.total_depth.txt	34.81	female
HG02572	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02572/analysis/HG02572.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02572/analysis/HG02572.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02572/illumina/HG02572.total_depth.txt	31.87	male
HG02257	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02257/analysis/HG02257.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02257/analysis/HG02257.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02257/illumina/HG02257.total_depth.txt	33.36	female
HG02148	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02148/analysis/HG02148.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02148/analysis/HG02148.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02148/illumina/HG02148.total_depth.txt	30.39	female
HG02145	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02145/analysis/HG02145.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02145/analysis/HG02145.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02145/illumina/HG02145.total_depth.txt	32.36	male
HG02080	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02080/analysis/HG02080.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02080/analysis/HG02080.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02080/illumina/HG02080.total_depth.txt	33.35	female
HG02055	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02055/analysis/HG02055.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG02055/analysis/HG02055.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG02055/illumina/HG02055.total_depth.txt	32.15	male
HG01978	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01978/analysis/HG01978.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01978/analysis/HG01978.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01978/illumina/HG01978.total_depth.txt	35.06	female
HG01952	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01952/analysis/HG01952.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01952/analysis/HG01952.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01952/illumina/HG01952.total_depth.txt	32.79	male
HG01928	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01928/analysis/HG01928.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01928/analysis/HG01928.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01928/illumina/HG01928.total_depth.txt	34.26	male
HG01891	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01891/analysis/HG01891.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01891/analysis/HG01891.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01891/illumina/HG01891.total_depth.txt	31.97	female
HG01361	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01361/analysis/HG01361.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01361/analysis/HG01361.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01361/illumina/HG01361.total_depth.txt	34.09	female
HG01358	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01358/analysis/HG01358.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01358/analysis/HG01358.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01358/illumina/HG01358.total_depth.txt	33.04	male
HG01258	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01258/analysis/HG01258.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01258/analysis/HG01258.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01258/illumina/HG01258.total_depth.txt	33.03	male
HG01243	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01243/analysis/HG01243.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01243/analysis/HG01243.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01243/illumina/HG01243.total_depth.txt	31.15	male
HG01175	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01175/analysis/HG01175.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01175/analysis/HG01175.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01175/illumina/HG01175.total_depth.txt	30.49	female
HG01109	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01109/analysis/HG01109.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01109/analysis/HG01109.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01109/illumina/HG01109.total_depth.txt	32.05	male
HG01106	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01106/analysis/HG01106.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01106/analysis/HG01106.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01106/illumina/HG01106.total_depth.txt	32.72	male
HG01071	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01071/analysis/HG01071.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG01071/analysis/HG01071.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG01071/illumina/HG01071.total_depth.txt	32.38	female
HG00741	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00741/analysis/HG00741.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00741/analysis/HG00741.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG00741/illumina/HG00741.total_depth.txt	32.49	female
HG00735	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00735/analysis/HG00735.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00735/analysis/HG00735.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG00735/illumina/HG00735.total_depth.txt	31.37	female
HG00733	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00733/analysis/HG00733.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00733/analysis/HG00733.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG00733/illumina/HG00733.total_depth.txt	32.28	female
HG00673	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00673/analysis/HG00673.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00673/analysis/HG00673.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG00673/illumina/HG00673.total_depth.txt	30.12	male
HG00621	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00621/analysis/HG00621.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00621/analysis/HG00621.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG00621/illumina/HG00621.total_depth.txt	30.81	male
HG00514	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00514/analysis/HG00514.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00514/analysis/HG00514.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG00514/illumina/HG00514.total_depth.txt	32.15	female
HG005	gs://str-truth-set-v2/raw_data/HG005/pacbio/HG005.downsampled_to_30x.bam	gs://str-truth-set-v2/raw_data/HG005/pacbio/HG005.downsampled_to_30x.bam.bai	pacbio	gs://str-truth-set-v2/raw_data/HG005/pacbio/HG005.downsampled_to_30x.total_depth.txt	29.99	male
HG00438	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00438/analysis/HG00438.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG00438/analysis/HG00438.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG00438/illumina/HG00438.total_depth.txt	31.69	female
HG002	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.bam	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.bam.bai	ONT	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.total_depth.txt	26.36	male
HG002	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.downsampled_to_20x.bam	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.downsampled_to_20x.bam.bai	ONT	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.downsampled_to_20x.total_depth.txt	20.0	male
HG002	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.downsampled_to_8x.bam	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.downsampled_to_8x.bam.bai	ONT	gs://str-truth-set-v2/raw_data/HG002/ONT/HG002.downsampled_to_8x.total_depth.txt	8.0	male
HG002	gs://str-truth-set-v2/raw_data/HG002/element/HG002.element.downsampled_to_30x.bam	gs://str-truth-set-v2/raw_data/HG002/element/HG002.element.downsampled_to_30x.bam.bai	element	gs://str-truth-set-v2/raw_data/HG002/element/HG002.element.downsampled_to_30x.total_depth.txt	30.0	male
HG002	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.cram	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.total_depth.txt	31.01	male
HG002	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.downsampled_to_20x.bam	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.downsampled_to_20x.bam.bai	illumina	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.downsampled_to_20x.total_depth.txt	20.0	male
HG002	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.downsampled_to_10x.bam	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.downsampled_to_10x.bam.bai	illumina	gs://str-truth-set-v2/raw_data/HG002/illumina/HG002.pcr_free.downsampled_to_10x.total_depth.txt	10.0	male
HG002	gs://str-truth-set-v2/raw_data/HG002/illumina_exome/HG002.novaseq.wes_idt.100x.dedup.bam	gs://str-truth-set-v2/raw_data/HG002/illumina_exome/HG002.novaseq.wes_idt.100x.dedup.bam.bai	illumina_exome	gs://str-truth-set-v2/raw_data/HG002/illumina_exome/HG002.total_depth.txt	2.94	male
HG002	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.bam	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.bam.bai	pacbio	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.total_depth.txt	37.36	male
HG002	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_30x.bam	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_30x.bam.bai	pacbio	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_30x.total_depth.txt	30.01	male
HG002	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_20x.bam	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_20x.bam.bai	pacbio	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_20x.total_depth.txt	20.0	male
HG002	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_8x.bam	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_8x.bam.bai	pacbio	gs://str-truth-set-v2/raw_data/HG002/pacbio/HG002.downsampled_to_8x.total_depth.txt	8.01	male
HG002	gs://str-truth-set-v2/raw_data/HG002/ultima/HG002.ultima.cram	gs://str-truth-set-v2/raw_data/HG002/ultima/HG002.ultima.cram.crai	ultima	gs://str-truth-set-v2/raw_data/HG002/ultima/HG002.ultima.total_depth.txt	35.89	male
CHM1_CHM13	gs://broad-public-datasets/CHM1_CHM13_WGS2/CHM1_CHM13_WGS2.cram	gs://broad-public-datasets/CHM1_CHM13_WGS2/CHM1_CHM13_WGS2.cram.crai	illumina	gs://str-truth-set-v2/raw_data/CHM1_CHM13/illumina/CHM1_CHM13.total_depth.txt	45.85	female
CHM1_CHM13	gs://broad-public-datasets/CHM1_CHM13_WES/CHMI_CHMI3_Nex1.cram	gs://broad-public-datasets/CHM1_CHM13_WES/CHMI_CHMI3_Nex1.cram.crai	illumina_exome	gs://str-truth-set-v2/raw_data/CHM1_CHM13/illumina_exome/CHM1_CHM13.total_depth.txt	2.92	female
CHM1_CHM13	gs://str-truth-set-v2/raw_data/CHM1_CHM13/pacbio/CHM1_CHM13.bam	gs://str-truth-set-v2/raw_data/CHM1_CHM13/pacbio/CHM1_CHM13.bam.bai	pacbio	gs://str-truth-set-v2/raw_data/CHM1_CHM13/pacbio/CHM1_CHM13.total_depth.txt	30.0	female
HG002	gs://str-truth-set-v2/raw_data/HG002/rnaseq_short_read/star/SRR29437757.Aligned.sortedByCoord.out.bam	gs://str-truth-set-v2/raw_data/HG002/rnaseq_short_read/star/SRR29437757.Aligned.sortedByCoord.out.bam.bai	illumina_rnaseq		24	male
HG002	gs://str-truth-set-v2/raw_data/HG002/pacbio_isoseq/HG002-NA24385-LCL.hg38.bam	gs://str-truth-set-v2/raw_data/HG002/pacbio_isoseq/HG002-NA24385-LCL.hg38.bam.bai	pacbio_isoseq		9	male
