sample_id	read_data_path	read_data_index_path	sequencing_data_type	depth_stats_path	depth_of_coverage	male_or_female
NA20129	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_NA20129/analysis/NA20129.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_NA20129/analysis/NA20129.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/NA20129/illumina/NA20129.total_depth.txt	32.74	female
NA19240	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_NA19240/analysis/NA19240.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_NA19240/analysis/NA19240.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/NA19240/illumina/NA19240.total_depth.txt	31.44	female
NA18906	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_NA18906/analysis/NA18906.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_NA18906/analysis/NA18906.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/NA18906/illumina/NA18906.total_depth.txt	31.42	female
NA12878	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA12878/analysis/NA12878.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA12878/analysis/NA12878.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/NA12878/illumina/NA12878.pcr_free.total_depth.txt	31.46	female
HG03579	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03579/analysis/HG03579.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03579/analysis/HG03579.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG03579/illumina/HG03579.total_depth.txt	30.51	male
HG03540	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03540/analysis/HG03540.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03540/analysis/HG03540.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG03540/illumina/HG03540.total_depth.txt	35.33	female
HG03516	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03516/analysis/HG03516.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03516/analysis/HG03516.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG03516/illumina/HG03516.total_depth.txt	29.97	female
HG03492	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03492/analysis/HG03492.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03492/analysis/HG03492.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG03492/illumina/HG03492.total_depth.txt	30.6	male
HG03486	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03486/analysis/HG03486.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03486/analysis/HG03486.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG03486/illumina/HG03486.total_depth.txt	33.27	female
HG03453	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03453/analysis/HG03453.final.cram	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.cram.2020-02-12/Sample_HG03453/analysis/HG03453.final.cram.crai	illumina	gs://str-truth-set-v2/raw_data/HG03453/illumina/HG03453.total_depth.txt	31.27	female
